Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C8",0603,13,100n,C14663
"C10, C13",CP_Elec_6.3x5.9,2,100u,C134878
"C12, C6, C7, C9",0603,4,10u,C19702
"C3, C4",0603,2,30p,C1658
C5,0603,1,1u,C15849
F1,1206,1,500mA,C70076
H1,1999 logo md,1,19.99 logo,
H2,qw new logo silk + copper sm,1,qw-logo,
"H3, H7",MountingHole_2.2mm_M2_DIN965_Pad,2,MountingHole_Pad,
"H4, H5",MountingHole_2.2mm_M2_DIN965,2,MountingHole,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST,C145956
"J3, J4",USB_A_Molex_67643_Horizontal,2,USB_A,C718022
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"L1, L2, L3",0603,3,"220 @ 100MHz, 2A",C85832
"R1, R10",0402,2,5.1k,C25905
"R11, R2, R3, R4, R5, R6, R7, R8, R9",0603,9,10k,C25804
R12,0603,1,2.7K,C13167
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MIC2026-2BM,C148072
U2,LQFP-48_7x7mm_P0.5mm,1,FE1.1,C28958
"U3, U4, U6",SOT-23-6,3,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
