Designator,Mid X,Mid Y,Rotation,Layer
C1,93.41,-22.1,0.0,top
C10,174.26,-35.11,0.0,top
C11,143.68,-31.76,180.0,top
C12,143.675,-30.3,180.0,top
C13,144.44,-24.54,90.0,top
C14,114.0375,-32.7,0.0,top
C15,114.13,-29.72,0.0,top
C16,103.02,-22.02,90.0,top
C17,104.48,-22.02,90.0,top
C18,105.5325,-38.43,270.0,top
C19,108.5625,-38.425,270.0,top
C2,137.76,-35.66,0.0,top
C20,108.99,-21.67,90.0,top
C21,154.93,-21.95,180.0,top
C22,120.81,-21.95,180.0,top
C3,111.97,-39.08,0.0,top
C4,115.19,-36.59,270.0,top
C5,98.35,-27.43,180.0,top
C6,98.36,-28.89,180.0,top
C7,112.07,-24.63,0.0,top
C8,168.31,-38.02,270.0,top
C9,169.77,-38.025,270.0,top
F1,83.13,-30.39,90.0,top
H1,78.695369,-30.868984,0.0,top
H2,89.09,-39.51,0.0,top
J1,122.36,-40.52,0.0,top
J3,167.49,-28.26,180.0,top
J4,133.41,-28.26,180.0,top
J5,86.51875,-19.05,180.0,top
L1,93.4,-20.55,0.0,top
L2,154.93,-20.39,180.0,top
L3,120.7975,-20.39,180.0,top
R1,88.28,-25.39,180.0,top
R10,84.21,-25.39,180.0,top
R11,98.39,-24.73,180.0,top
R12,110.45,-21.67,90.0,top
R2,109.1825,-42.095001,90.0,top
R3,104.7925,-42.095001,90.0,top
R4,107.7225,-42.095,90.0,top
R5,106.2625,-42.095001,90.0,top
R6,103.3325,-42.1,270.0,top
R7,99.9,-32.41,0.0,top
R8,102.06,-25.44,0.0,top
R9,101.56,-22.02,270.0,top
U1,137.64,-40.55,90.0,top
U2,107.29,-29.64,90.0,top
U3,163.99,-33.08,90.0,top
U4,129.91,-33.08,90.0,top
U6,86.04,-27.96,270.0,top
Y1,112.26,-36.65,0.0,top
